ID,p,RMSE.train,RMSE.test,R2.train,R2.test,NVAR
rf,0.85,0.376800664533973,0.957477303461103,0.992709407881189,0.930921897879784,301
rfe_rf,0.85,0.34168704387188,0.949303673662824,0.994004898992542,0.932096252322927,40
pca_rf,0.85,0.36648040243492,0.987099844229349,0.993103305430844,0.926581486388774,301
s3b_rf,0.85,0.335365550233251,1.10183922619716,0.994224675664841,0.908521321957392,12
ridge,0.9,0.425550432121861,1.21431171962394,0.990501170537373,0.89983366396693,301
lasso,0.9,0.285239900537352,1.39870960853633,0.995732352192319,0.867102585570896,301
enet,0.9,0.535326617466637,1.21216222121223,0.984968383238648,0.900187966432972,301
glmnet,0.9,0.914262412416537,1.39887233457372,0.956156042372299,0.86707166117104,301
rfe_lm,0.9,1.06118239713424,2.28677275476399,0.940932567518688,0.644771801323633,32
pca_lm,0.9,0.802538980892915,1.27210949838595,0.966216838357013,0.890071473730313,35
s3b_lm,0.9,0.925949719286361,1.58703593819034,0.955027935212122,0.828905937730027,13
pcr,0.9,0.75905586563334,1.37138333573913,0.969778535900045,0.872244633918021,301
knn,0.9,0.530000031170284,1.07426045504555,0.985266029051313,0.921606402788479,301
rfe_knn,0.9,0.419065352188322,0.767084727319534,0.990788475115034,0.960028717130269,32
s3b_knn,0.9,0.622691327341571,1.16400401639302,0.97966174664788,0.907961321852382,13
pca_knn,0.9,0.530000031170284,1.07426045504555,0.985266029051313,0.921606402788479,301
rf,0.9,0.351697869020829,1.08837840226168,0.993512050023785,0.919532363538968,301
rfe_rf,0.9,0.319282509059713,1.05386547676195,0.994652900393754,0.924554772805158,32
pca_rf,0.9,0.347783968082061,1.07774295358676,0.993655649974331,0.921097311913083,301
s3b_rf,0.9,0.344074337584159,0.7007171599707,0.993790271910137,0.966646077040318,13
ridge,0.95,0.381839385347689,1.00679105294965,0.992271482445217,0.931854820755066,301
lasso,0.95,0.287631730391672,1.07813701508487,0.995614608795909,0.921854431188634,301
enet,0.95,0.505524135389616,0.807288801276314,0.986453766938015,0.956185859226742,301
glmnet,0.95,0.964410748099214,1.36325729769965,0.950698647128979,0.875056949319523,301
rfe_lm,0.95,1.05069468085022,1.32666102590261,0.941482222879716,0.881675034933396,35
pca_lm,0.95,0.83627510129881,0.867792580125779,0.962929103714564,0.949372287144898,35
s3b_lm,0.95,0.984554656409183,1.11840473870808,0.948617596628336,0.915908046717784,12
pcr,0.95,0.745195837996938,0.96007297809818,0.970564216875748,0.938032362939394,301
knn,0.95,0.535610564820045,0.626503932456732,0.984793368467677,0.973612147613367,301
rfe_knn,0.95,0.153468162324648,1.00895822717402,0.998751549468045,0.931561132361732,35
s3b_knn,0.95,0.512094161575436,1.25788744810737,0.986099372611414,0.89362489289975,12
pca_knn,0.95,0.535610564820045,0.626503932456732,0.984793368467677,0.973612147613367,301
rf,0.95,0.363067353301923,0.979191019212486,0.993012703834484,0.935539853743035,301
rfe_rf,0.95,0.320836345643516,0.847360357147635,0.994543654337981,0.951728285127036,35
pca_rf,0.95,0.372892632181766,1.01353085707267,0.992629408227675,0.930939392544278,301
s3b_rf,0.95,0.349104254721571,0.789296048547646,0.993539813783125,0.958117142854221,12
